Layer Name,Trainable,Number of Parameters
model.23.m.0.cv1.bn.weight,False,256
model.23.m.0.cv1.bn.bias,False,256
model.23.m.0.cv2.conv.weight,False,589824
model.23.m.0.cv2.bn.weight,False,256
model.23.m.0.cv2.bn.bias,False,256
model.24.cv2.0.0.conv.weight,False,73728
model.24.cv2.0.0.bn.weight,False,64
model.24.cv2.0.0.bn.bias,False,64
model.24.cv2.0.1.conv.weight,False,36864
model.24.cv2.0.1.bn.weight,False,64
model.24.cv2.0.1.bn.bias,False,64
model.24.cv2.0.2.weight,False,4096
model.24.cv2.0.2.bias,False,64
model.24.cv2.1.0.conv.weight,False,147456
model.24.cv2.1.0.bn.weight,False,64
model.24.cv2.1.0.bn.bias,False,64
model.24.cv2.1.1.conv.weight,False,36864
model.24.cv2.1.1.bn.weight,False,64
model.24.cv2.1.1.bn.bias,False,64
model.24.cv2.1.2.weight,False,4096
model.24.cv2.1.2.bias,False,64
model.24.cv2.2.0.conv.weight,False,294912
model.24.cv2.2.0.bn.weight,False,64
model.24.cv2.2.0.bn.bias,False,64
model.24.cv2.2.1.conv.weight,False,36864
model.24.cv2.2.1.bn.weight,False,64
model.24.cv2.2.1.bn.bias,False,64
model.24.cv2.2.2.weight,False,4096
model.24.cv2.2.2.bias,False,64
model.24.cv3.0.0.conv.weight,False,147456
model.24.cv3.0.0.bn.weight,False,128
model.24.cv3.0.0.bn.bias,False,128
model.24.cv3.0.1.conv.weight,False,147456
model.24.cv3.0.1.bn.weight,False,128
model.24.cv3.0.1.bn.bias,False,128
model.24.cv3.0.2.weight,False,10240
model.24.cv3.0.2.bias,False,80
model.24.cv3.1.0.conv.weight,False,294912
model.24.cv3.1.0.bn.weight,False,128
model.24.cv3.1.0.bn.bias,False,128
model.24.cv3.1.1.conv.weight,False,147456
model.24.cv3.1.1.bn.weight,False,128
model.24.cv3.1.1.bn.bias,False,128
model.24.cv3.1.2.weight,False,10240
model.24.cv3.1.2.bias,False,80
model.24.cv3.2.0.conv.weight,False,589824
model.24.cv3.2.0.bn.weight,False,128
model.24.cv3.2.0.bn.bias,False,128
model.24.cv3.2.1.conv.weight,False,147456
model.24.cv3.2.1.bn.weight,False,128
model.24.cv3.2.1.bn.bias,False,128
model.24.cv3.2.2.weight,False,10240
model.24.cv3.2.2.bias,False,80
model.24.dfl.conv.weight,False,16
